year,country,iosCode,flag_url,population,area,landArea,density,growthRate,worldPercentage,rank,netChange
2000,central african republic,CF,https://s3.amazonaws.com/images.wpr.com/flags/24/CF.png,3759170.0,622984.0,622980.0,9.2175,0.0292,0.0007,117,0.0053
2000,finland,FI,https://s3.amazonaws.com/images.wpr.com/flags/24/FI.png,5176209.0,338424.0,303940.0,18.2453,0.0009,0.0007,118,0.0001
2000,norway,NO,https://s3.amazonaws.com/images.wpr.com/flags/24/NO.png,4491202.0,323802.0,364285.0,15.0277,0.0074,0.0007,119,0.0013
2000,liberia,LR,https://s3.amazonaws.com/images.wpr.com/flags/24/LR.png,2895224.0,111369.0,96320.0,56.2539,0.0218,0.0007,120,0.0037
2000,palestine,PS,https://s3.amazonaws.com/images.wpr.com/flags/24/PS.png,3139954.0,6220.0,6020.0,892.2309,0.0231,0.0007,121,0.0039
2000,lebanon,LB,https://s3.amazonaws.com/images.wpr.com/flags/24/LB.png,4320642.0,10452.0,10230.0,523.3558,-0.0247,0.0007,122,-0.0045
2000,new zealand,NZ,https://s3.amazonaws.com/images.wpr.com/flags/24/NZ.png,3855266.0,270467.0,263310.0,19.8553,0.0083,0.0007,123,0.0013
2000,costa rica,CR,https://s3.amazonaws.com/images.wpr.com/flags/24/CR.png,3979193.0,51100.0,51060.0,102.0794,0.006,0.0007,124,0.0011
2000,ireland,IE,https://s3.amazonaws.com/images.wpr.com/flags/24/IE.png,3768950.0,70273.0,68890.0,73.4059,0.0067,0.0006,125,0.0011
2000,mauritania,MR,https://s3.amazonaws.com/images.wpr.com/flags/24/MR.png,2695003.0,1030700.0,1030700.0,4.7181,0.0268,0.0006,126,0.0041
2000,oman,OM,https://s3.amazonaws.com/images.wpr.com/flags/24/OM.png,2344253.0,309500.0,309500.0,15.0061,0.0149,0.0006,127,0.0022
2000,panama,PA,https://s3.amazonaws.com/images.wpr.com/flags/24/PA.png,3001731.0,75417.0,74180.0,60.233,0.0135,0.0006,128,0.0019
2000,kuwait,KW,https://s3.amazonaws.com/images.wpr.com/flags/24/KW.png,1934901.0,17818.0,17820.0,241.8691,0.0097,0.0005,129,0.0013
2000,croatia,HR,https://s3.amazonaws.com/images.wpr.com/flags/24/HR.png,4548434.0,56594.0,55960.0,71.6336,-0.0054,0.0005,130,-0.0007
2000,eritrea,ER,https://s3.amazonaws.com/images.wpr.com/flags/24/ER.png,2392880.0,117600.0,121040.8,30.9722,0.0176,0.0005,131,0.0021
2000,georgia,GE,https://s3.amazonaws.com/images.wpr.com/flags/24/GE.png,4265172.0,69700.0,69490.0,53.6521,-0.0043,0.0005,132,-0.0005
2000,mongolia,MN,https://s3.amazonaws.com/images.wpr.com/flags/24/MN.png,2450979.0,1564110.0,1557506.8,2.2133,0.0144,0.0004,133,0.0015
2000,moldova,MD,https://s3.amazonaws.com/images.wpr.com/flags/24/MD.png,4251573.0,33846.0,32884.6,104.4845,0.0498,0.0004,134,-0.0039
2000,uruguay,UY,https://s3.amazonaws.com/images.wpr.com/flags/24/UY.png,3292224.0,181034.0,175020.0,19.5584,0.0001,0.0004,135,0.0
2000,puerto rico,PR,https://s3.amazonaws.com/images.wpr.com/flags/24/PR.png,3827108.0,8870.0,8870.0,367.5664,0.0024,0.0004,136,0.0003
2000,bosnia and herzegovina,BA,https://s3.amazonaws.com/images.wpr.com/flags/24/BA.png,4179350.000000001,51209.0,51200.0,62.7119,-0.007,0.0004,137,-0.0006
2000,albania,AL,https://s3.amazonaws.com/images.wpr.com/flags/24/AL.png,3182021.0,28748.0,27400.0,103.3737,-0.0035,0.0004,138,-0.0003
2000,jamaica,JM,https://s3.amazonaws.com/images.wpr.com/flags/24/JM.png,2612205.0,10991.0,10830.0,260.8997,-0.0006,0.0004,139,0.0
2000,armenia,AM,https://s3.amazonaws.com/images.wpr.com/flags/24/AM.png,3168523.0,29743.0,28470.0,97.5753,-0.0009,0.0003,140,0.0
2000,gambia,GM,https://s3.amazonaws.com/images.wpr.com/flags/24/GM.png,1437539.0,10689.0,10120.0,274.0285,0.0248,0.0003,141,0.0022
2000,lithuania,LT,https://s3.amazonaws.com/images.wpr.com/flags/24/LT.png,3599637.0,65300.0,62620.0,43.4103,-0.0115,0.0003,142,-0.0008
2000,qatar,QA,https://s3.amazonaws.com/images.wpr.com/flags/24/QA.png,645937.0,11586.0,11490.0,236.4135,0.0079,0.0003,143,0.0007
2000,botswana,BW,https://s3.amazonaws.com/images.wpr.com/flags/24/BW.png,1726985.0,582000.0,566730.0,4.7207,0.0171,0.0003,144,0.0014
2000,namibia,,https://s3.amazonaws.com/images.wpr.com/flags/24/NA.png,1819141.0,825615.0,823290.0,3.1631,0.0145,0.0003,145,0.0012
2000,gabon,GA,https://s3.amazonaws.com/images.wpr.com/flags/24/GA.png,1272935.0,267668.0,257670.0,9.4561,0.0199,0.0003,146,0.0015
2000,lesotho,LS,https://s3.amazonaws.com/images.wpr.com/flags/24/LS.png,1998630.0,30355.0,30360.0,76.7562,0.0106,0.0003,147,0.0008
2000,guinea bissau,GW,https://s3.amazonaws.com/images.wpr.com/flags/24/GW.png,2105566.0,36100.0,28100.0,76.0,2.15,-1.0,148,0.0
2000,slovenia,SI,https://s3.amazonaws.com/images.wpr.com/flags/24/SI.png,1984339.0,20273.0,20136.4,105.2658,-0.0001,0.0003,149,0.0
2000,north macedonia,MK,https://s3.amazonaws.com/images.wpr.com/flags/24/MK.png,2037936.0,25713.0,25220.0,82.6994,-0.0038,0.0003,150,-0.0002
